----------------Q1/Q2.-----------------
total_vertexes = 1000
> Initialization...
> Huffman Coding...
> Huffman Coding Result : 
856 : 0111100101, length = 10
857 : 110101110, length = 9
858 : 0101010011, length = 10
859 : 001000101111, length = 12
860 : 000100011, length = 9
861 : 100001110010, length = 12
862 : 01111001110, length = 11
863 : 111001111, length = 9
864 : 0100100110, length = 10
865 : 100001011, length = 9
866 : 01111110111, length = 11
867 : 1100000010001001, length = 16
868 : 01111001001, length = 11
869 : 011100010001, length = 12
870 : 11111010000, length = 11
871 : 1100110010, length = 10
872 : 111110000, length = 9
873 : 100110100, length = 9
874 : 001000111, length = 9
875 : 00111101111, length = 11
876 : 001100000, length = 9
877 : 0011011011, length = 10
878 : 111000000111011, length = 15
879 : 001111111101, length = 12
880 : 01110011110011, length = 14
881 : 01010011000, length = 11
882 : 001001011, length = 9
883 : 0010011110, length = 10
884 : 111010111111, length = 12
885 : 001110110111, length = 12
886 : 00111001110, length = 11
887 : 1111110101, length = 10
888 : 100101010, length = 9
889 : 100111000, length = 9
890 : 101011011, length = 9
891 : 0110001110, length = 10
892 : 010001100011, length = 12
893 : 110100010110, length = 12
894 : 010101101111, length = 12
895 : 00111000010, length = 11
896 : 001011111, length = 9
897 : 0111100010, length = 10
898 : 0111000001, length = 10
899 : 011001101111, length = 12
900 : 1010101101, length = 10
901 : 00100010110, length = 11
902 : 1001101100, length = 10
903 : 0101010111, length = 10
904 : 0011100100, length = 10
905 : 01111110100, length = 11
906 : 100011011, length = 9
907 : 10110110111, length = 11
908 : 010000000111, length = 12
909 : 101000110, length = 9
910 : 1010011110, length = 10
911 : 00010000110, length = 11
912 : 0100100011111, length = 13
913 : 101100111, length = 9
914 : 1000011000, length = 10
915 : 0111001101, length = 10
916 : 01110111101, length = 11
917 : 1100110011, length = 10
918 : 0100111010, length = 10
919 : 01101110010, length = 11
920 : 110111101, length = 9
921 : 110110010, length = 9
922 : 0101111110, length = 10
923 : 001110000111, length = 12
924 : 110111100, length = 9
925 : 010101101100111, length = 15
926 : 011001101110000, length = 15
927 : 011001001110, length = 12
928 : 0011011100, length = 10
929 : 0111011111, length = 10
930 : 1100000010010, length = 13
931 : 0111110101, length = 10
932 : 01011101110, length = 11
933 : 0010000010, length = 10
934 : 010001010100, length = 12
935 : 0111110010, length = 10
936 : 01001111001101, length = 14
937 : 0111100110, length = 10
938 : 1000111101, length = 10
939 : 01011111001, length = 11
940 : 01100000110, length = 11
941 : 001101001101011, length = 15
942 : 111011110, length = 9
943 : 01110011100, length = 11
944 : 0011100000, length = 10
945 : 111001100, length = 9
946 : 011100111100100, length = 15
947 : 0010100011, length = 10
948 : 0100110011, length = 10
949 : 0101001000, length = 10
950 : 0101100111, length = 10
951 : 1100010000, length = 10
952 : 0100111100111, length = 13
953 : 000111101, length = 9
954 : 01011111000, length = 11
955 : 01100100001, length = 11
956 : 0000000011, length = 10
957 : 1110000001110101, length = 16
958 : 011101100111, length = 12
959 : 000100111, length = 9
960 : 01100100110, length = 11
961 : 11000000100011, length = 14
962 : 01111010011, length = 11
963 : 0011010011011, length = 13
964 : 0111001100, length = 10
965 : 0110001100, length = 10
966 : 101010111, length = 9
967 : 0100010100, length = 10
968 : 010001010101, length = 12
969 : 0111111110, length = 10
970 : 011110011111, length = 12
971 : 111111101101110, length = 15
972 : 01010010101, length = 11
973 : 01101011001, length = 11
974 : 01101010000, length = 11
975 : 1011011011000, length = 13
976 : 0110110001, length = 10
977 : 110000101, length = 9
978 : 0010111010, length = 10
979 : 0000010001, length = 10
980 : 010011101111, length = 12
981 : 110011100, length = 9
982 : 000100101100, length = 12
983 : 0011011110, length = 10
984 : 0101110111111, length = 13
985 : 0110000111110, length = 13
